File Path,sequence,steps,time_spent,Extra_Steps,num_R,num_T,new_sequence,Clusters
Puzzles/SelectionS16/puzzle_1/student_145,VVOIOIFPOPEPOPTTS,16,492,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_59,VVOORIOIFPRPEPOPTTS,18,220,2,2,2,VVOORIOIFPRPEPOP,3
Puzzles/SelectionS16/puzzle_1/student_66,VVOOTOOITFPRRPEPRPTISRRRS,23,305,7,6,3,VVOOOOIFPRRPEPRPTIRRR,2
Puzzles/SelectionS16/puzzle_1/student_92,VVIIfOOOPPEPOPTTSTFS,18,159,2,0,3,VVIIOOOPPEPOPTF,2
Puzzles/SelectionS16/puzzle_1/student_32,VVOIOITTFRRPOPEPOPS,18,101,2,2,2,VVOIOIFRRPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_129,VVOIOIFPOPOPPTTTSTTSERRS,21,276,5,2,5,VVOIOIFPOPOPPTTERR,3
Puzzles/SelectionS16/puzzle_1/student_111,ORRRfVVIRIOOFPRREOTRPRRPPRTSRRS,29,209,13,12,2,ORRRVVIRIOOFPRREORPRRPPR,4
Puzzles/SelectionS16/puzzle_1/student_35,iITVRRVROIOFOPRRPOEPTPSRRSRRRRRRRS,31,184,15,14,2,IVRRVROIOFOPRRPOEPPRRRRRRR,4
Puzzles/SelectionS16/puzzle_1/student_127,vRVIRIFOPPEOOOPPTTSVTS,20,264,4,2,3,RVIRIFOPPEOOOPPVT,2
Puzzles/SelectionS16/puzzle_1/student_118,TTVRVIOROOIFPRPePOPSETS,21,196,5,3,3,VRVIOROOIFPRPPOPET,2
Puzzles/SelectionS16/puzzle_1/student_120,OOTVVTIIFPOPEPOPS,16,252,0,0,2,OOVVIIFPOPEPOP,3
Puzzles/SelectionS16/puzzle_1/student_143,vVTOROTOTVOFRPEPTTRIIRPRTPRSTSTSTSTS,31,352,15,6,10,VOROOTVOFRPEPTRIIRPRTPRT,4
Puzzles/SelectionS16/puzzle_1/student_67,VVOIOIFPOTPEPTOPS,16,109,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_60,VVOIOIFPOPEPOPTTS,16,82,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_144,VVOIOIfPOPEFPTOPTSTRS,19,986,3,1,3,VVOIOIPOPEFPOPTR,3
Puzzles/SelectionS16/puzzle_1/student_94,TTFPOOIOIVVOPRERPPRS,19,279,3,3,2,FPOOIOIVVOPRERPPR,4
Puzzles/SelectionS16/puzzle_1/student_69,VVOITOIFOEOPPPRRRPTS,19,109,3,3,2,VVOIOIFOEOPPPRRRP,3
Puzzles/SelectionS16/puzzle_1/student_56,VVOIOIFPOPEPOPTTS,16,139,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_172,TIROROIFOPVVTEOPPPS,18,108,2,2,2,IROROIFOPVVEOPPP,2
Puzzles/SelectionS16/puzzle_1/student_175,VRVOOIIFPOPPEPOTTS,17,103,1,1,2,VRVOOIIFPOPPEPO,3
Puzzles/SelectionS16/puzzle_1/student_51,VVRRITIFPOPEPOPTOoSRSRSROTS,23,220,7,5,3,VVRRIIFPOPEPOPORRROT,2
Puzzles/SelectionS16/puzzle_1/student_181,VVOIOIFPOPRPEPORTTS,18,127,2,2,2,VVOIOIFPOPRPEPOR,3
Puzzles/SelectionS16/puzzle_1/student_121,PVVIITRFRROORROROPEPRPTSSSSSSSSSRSRS,25,788,9,9,2,PVVIIRFRROORROROPEPRPRR,4
Puzzles/SelectionS16/puzzle_1/student_126,IRROIORVVFPOPEPoPTORTSRS,22,429,6,5,2,IRROIORVVFPOPEPPORR,2
Puzzles/SelectionS16/puzzle_1/student_119,FOIVTVORRPEPPPTIOOS,18,339,2,2,2,FOIVVORRPEPPPIOO,4
Puzzles/SelectionS16/puzzle_1/student_34,FPPOEPOPTVVIIOOTS,16,105,0,0,2,FPPOEPOPVVIIOO,4
Puzzles/SelectionS16/puzzle_1/student_110,VVOIOIFPOPEPOPTTS,16,112,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_117,VVTIIOOTFPOPEPOPSRS,17,201,1,1,2,VVIIOOFPOPEPOPR,3
Puzzles/SelectionS16/puzzle_1/student_33,VVOIOIFOERROTTTTPPRRTSSRRRPPS,26,286,10,7,5,VVOIOIFOERROTPPRRTRRRPP,2
Puzzles/SelectionS16/puzzle_1/student_128,VRRVORIOIFPoEROROTTTRPRPPTSRRRRRS,31,277,15,12,4,VRRVORIOIFPEROROTRPRPPRRR,2
Puzzles/SelectionS16/puzzle_1/student_77,OOIIROFPOPERRPRPVVTTS,20,153,4,4,2,OOIIROFPOPERRPRPVV,2
Puzzles/SelectionS16/puzzle_1/student_153,VVOIOIFPORREOPTTTTPPS,20,220,4,2,4,VVOIOIFPORREOPTPP,3
Puzzles/SelectionS16/puzzle_1/student_83,VVIIFPPOEPOPOOTTS,16,275,0,0,2,VVIIFPPOEPOPOO,2
Puzzles/SelectionS16/puzzle_1/student_198,VRTVOOIITFOPEOPTTSTRSRSRRPPSRS,25,259,9,6,5,VRVOOIIFOPEOPTTRRRRPPR,2
Puzzles/SelectionS16/puzzle_1/student_154,VVROIOIFPOPEPOPTTS,17,325,1,1,2,VVROIOIFPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_70,TIRRTVIVOTOFPPERRRTROOPPSTTSRSRSTSTS,30,289,14,8,8,IRRVIVOTOFPPERRRROOPPTTRRT,4
Puzzles/SelectionS16/puzzle_1/student_162,VVOITOIROFOERPPRRPRPTS,21,388,5,5,2,VVOIOIROFOERPPRRPRP,3
Puzzles/SelectionS16/puzzle_1/student_46,VVTOITOIFOPPEPROPSRRSRRSRRRSRRSRRSRRSRSRS,32,435,16,16,2,VVOIOIFOPPEPROPRRRRRRRRRRRR,2
Puzzles/SelectionS16/puzzle_1/student_196,VVRROIOIFPOPEPOPTTSRRRS,21,168,5,5,2,VVRROIOIFPOPEPOPRRR,3
Puzzles/SelectionS16/puzzle_1/student_79,VVIIFOPPERRRTOPPTRORROTTSRRRRTRS,30,515,14,11,5,VVIIFOPPERRROPPRORROTRRRRT,4
Puzzles/SelectionS16/puzzle_1/student_191,VVTOIOIFOREOPPPPTSRSRSRSRSRSRSRSRS,25,666,9,9,2,VVOIOIFOREOPPPPRRRRRRRR,2
Puzzles/SelectionS16/puzzle_1/student_41,TVVRRRROIOTIFPEOPPOPS,20,104,4,4,2,VVRRRROIOIFPEOPPOP,3
Puzzles/SelectionS16/puzzle_1/student_165,VVOORRIIFPOPEPOPRTTSRRRRS,23,251,7,7,2,VVOORRIIFPOPEPOPRRRRR,2
Puzzles/SelectionS16/puzzle_1/student_15,VVOOTITIRFPOPEOPTSPS,18,83,2,1,3,VVOOIIRFPOPEOPTP,3
Puzzles/SelectionS16/puzzle_1/student_131,VIOTOVFPPTOIEPRPROS,18,91,2,2,2,VIOOVFPPOIEPRPRO,2
Puzzles/SelectionS16/puzzle_1/student_109,VVIIFPOPEPOPTTTTSRSOSTSRRRRRRRORTTSRRRRRRRRRRS,40,441,24,19,7,VVIIFPOPEPOPTROTRRRRRRRORTRRRR,4
Puzzles/SelectionS16/puzzle_1/student_136,VRRVIIFOPPRPRREROOiPRROTTSRRSSSRRiTSTSSRRRRRRRS,39,335,23,19,4,VRRVIIFOPPRPRREROOPRRORRTRRR,4
